Title,DOI,Article Type?,Year ,Courses:,keyword themes,Inclusive Teaching  included?,Inclusive Teaching Description,Word Count of Inclusive Teaching?,,,Notes,,
Preparing Student Study Guides through Peer Collaboration in the Technological Era,https://doi.org/10.24918/cs.2021.14,Teaching Tools and Strategies,2021,"Introduction Biology, Proffessional Developemnt and Career Planning, Science Processs Skills","active learning, Discussion, Study Skills",Yes,"In my model, the study guide was used as a supplemental resource to textbooks and lecture. Textbooks are the most commonly used resources for learning in classrooms but are often divisive for students who are not strong readers (1). The same can be said for review guides that are produced by instructors to be read and reviewed by students independently. Previous studies have shown that supplementation of text with study guides provides benefits both for students with learning disabilities and reading and language deficits, equalizing student achievement in the classroom (12). Additionally, I have anecdotally found that while minoritized students, introverted students, and students with accommodations are less likely to speak up in class, those groups participated well in the discussion-based study guide. This type of assignment gives the opportunities to ask anonymous questions without the influences of social stigmas or fear of public speaking, and allows students to perform at their own pace. This may create the opportunity for equal participation from all students in a low-pressure environment.",169,,,,,
"Using Current Events to Teach Written, Visual, and Oral Science Communication",https://doi.org/10.24918/cs.2021.15,Lesson,2021,Science Process Skills,"communication, scientific writing, storytelling, audience, current events",Yes,"Several inclusive teaching practices are specifically included in this unit, with particular emphasis on techniques that align with Indigenous ways of teaching and learning. These practices include place-based and student-chosen topics, small group work, close observation and emulation of modeled best-practices, visual and non-verbal learning, and storytelling. Further, the unit leverages the diversity among students by providing multiple opportunities for every student in the class to share their work, thereby providing a voice to every student in the classroom. For students who are uncomfortable sharing in large group settings, we suggest opportunities for Think-Pair-Share and written reflections",97,,,,,
Breaking Bricks: A Hands-On Model of Enzyme Kinetics and Inhibition,https://doi.org/10.24918/cs.2021.16,Lesson,2021,"Biochemistry and Molecular Biology, Cell Biology,","kinetics, Enzyme, competitive inhibition",Yes,"This activity uses physical models and student participation, and instructors encourage all students to act out the part of enzymes. In addition, using familiar objects (plastic building bricks) as the substrates and a human action in place of the enzyme may make the concept of enzyme kinetics more relatable and approachable. This simulation is performed in small groups, where students can play several roles in conducting the simulation (including timekeeper, data recorder, student ""enzyme"", or observer). Therefore, this activity could be modified to allow differently-abled students to participate depending on their needs by having the instructor and/or student group members discuss how all students can be involved prior to beginning the simulation. For example, in one of our classes, we had a visually impaired student who enjoyed being the ""enzyme"" because this kinesthetic activity doesn't require seeing the bricks.

This activity also provides multiple ways for students to answer questions about the material. When students complete the activity, they first answer questions in writing independently or in small groups, and then questions are discussed orally as a larger group. This technique allows all students to have the opportunity to participate. Structured discussion of individual student responses to the post-activity conceptual questions also allows students to teach each other.
",207,,,,,
A Fun Introductory Command Line Lesson: Next Generation Sequencing Quality Analysis with Emoji!,https://doi.org/10.24918/cs.2021.17,Lesson,2021,Bioinformatics,"bioinformatics, genomics, coding, Jupyter notebook, command line, CyVerse, scripting, next generation sequencing analysis",Yes,"To help students with diverse learning methods achieve a complete understanding, lesson materials are presented in multiple ways: traditional lecture with visual aids combined with a group hands-on learning activity. The hands-on activity is supplemented with formative assessment questions in which students reflect on the activity to formulate answers based on their in-class analysis. Furthermore, nation-wide survey data indicates that barriers to integrating bioinformatics into undergraduate life sciences curriculum are disproportionately greater to faculty teaching at minority-serving institutions (MSIs) compared to faculty at non-MSIs (4). This disparity increases the value of engaging STEM undergraduates in computational bioinformatics, where there is evidence of a diversity gap. Additionally, this lesson can be effectively implemented in a traditional in person lab as well as a synchronous or asynchronous online formatted course.
",128,,,,,
Student-Driven Design-and-Improve Modules to Explore the Effect of Plant Bioactive Compounds in Three Model Organisms,https://doi.org/10.24918/cs.2021.18,Lesson,2021,"Introduction Biology,  Science Process Skills","statistics, Lab, CURE, Inquiry, research skills, caterpillar, daphnia, drugs, science process",Yes,"The Lesson was developed with a strong emphasis on engagement and support of all students, regardless of level of preparation. The topic links easily to daily life, and students were encouraged to pursue ideas that were interesting to them and to bring materials from their home to test. Structure with clear goals and support has been shown to particularly improve learning in students belonging to groups underrepresented in the sciences (26-28). To this end, the goals of achieving mastery in the different science processes in order to prepare them for future classes and careers were explicitly stated to students at the start of the semester (including in the syllabus, Supporting File S1. Bioactive Compounds – Syllabus) and when transitioning between modules. That learning is a process and that skills build over time was also explicitly stated to the students in every lab session. The emphasis on growth was enacted in every class where students were provided with support and sufficient in-class time to plan their experiment, to learn to use Excel, to make a graph, to perform statistical analysis, and to write up their work as a lab report and to prepare their presentation. The lab report was guided with built-in instructions for the individual elements (e.g., Supporting File S12. Bioactive compounds – Module 1. Lab 4. Guided lab report). Students had time to work on different parts of the lab report during class over several weeks. Information needed to complete a task was provided before class as part of homework assignments. Sessions started with a whole class discussion of daily tasks from the homework, followed by demonstration of any laboratory techniques. All assignments were considered formative: students were given feedback on how they might improve their work and then given the opportunity to make said improvements. Since they used the same or similar skills over the course of the four modules, students had the opportunity to grow their skills and improve throughout the semester – and explicitly recognize that in self-reflections.

Group work was also structured to support the success of all students centering around the principles of positive interdependence, individual accountability, and equal and simultaneous interaction (29). Students were individually accountable by completing their own individual assignments that prepared them for a class session or as they learned new skills during class. Being individually accountable at every stage of the research process prepared students to participate equally and productively during group interactions. Group work relied on positive interdependence, as students needed each other both for the overall success of the project as well as for tasks that were complicated enough to elicit mutual need (29-31). Specifically, students worked in groups of four for cognitively difficult tasks that benefit from multiple inputs such as planning the experiment or discussing experimental results. For performing the experiment or recording the results, students worked in smaller groups of two to allow both students to be fully engaged. For example, often both students worked on the experiment together, while in other cases the two students had specific, complementary tasks of either completing or recording results. Successful group interactions in this Lesson were also supported by clear goals, tasks being highly relevant to the goal, and outcomes in the form of lab reports or presentations with multiple parts that clearly linked to future value in their science careers (31). Active learning in general has been shown to support inclusive learning by all students (32). CUREs implemented early in the curriculum have been shown to improve scientific self-efficacy, identity, and student persistence in STEM degrees among diverse students (11,33) and hold particular promise for underrepresented minority students (33-35).
",602,,,,,
Design Your Own Flow Cytometry Experiment: A Four-Week Inquiry Laboratory,https://doi.org/10.24918/cs.2021.19,Lesson,2021,Immunology,"Immunology, experimental design, Flow cytometry, Mice",Yes,"This Lesson provides students with an inquiry-driven activity, and as designed, each student pair is presented with an opportunity to design an experiment to test a different question. At the end of the four-week lab exercise, each student pair shares their data in the form of an oral presentation, making each group’s contribution of equal importance. Using this format overcomes significant barriers and gives students an ability to see themselves and their peers as scientists (23). Each student pair is required to adjust the given protocol to carry out the experiment they design, troubleshooting any problems they encounter as if they were working in a research laboratory. This approach encourages the less-vocal students to actively participate in figuring out how to successfully complete the laboratory exercises (24). Students help each other, which leads to minimal instructor intervention. For both the written lab report and in-class oral presentation, students continue to work with their lab partner, which functions to reduce writing and presentation anxiety. An additional element that enhances lab performance is how the students pair up with each other. At the beginning of the semester, students are free to choose their partner. Since this lab activity is towards the end of the semester, the student pairs have worked together in many lab exercises and have developed an excellent rapport with each other. Furthermore, every student has access to the same time and resources throughout the activity ensuring that no students have a preparation advantage. To increase the inclusivity of this Lesson, instructors who do not have the resources at their institution or training to complete this full Lesson are encouraged to read the Potential Modifications section below to see how the Lesson can be adjusted to fit their circumstance.
",289,,,,,
Assessing in vivo Antimicrobial Activity Through the Analysis of Galleria mellonella Kaplan-Meier Plots,https://doi.org/10.24918/cs.2021.20,Lesson,2021,Microbiology,"Antimicrobial Testing, Antimicrobials, Invertebrate animal models",Yes,"Students do not have to pursue a career in the life sciences or allied health studies in order to benefit from the thematic nature of the exercise. The lesson is presented using a variety of modalities that benefit a variety of learners (lecture and case study). To provide representation, the selected manuscripts highlight scientist of diverse backgrounds in antimicrobial research. Student choice is supported by allowing students to choose their microbe and or compound. The format of the lesson encourages students to discuss their ideas with their peers allowing students to see different perspectives on the topics discussed. This lesson also emphasizes critical thinking, writing, and provides students with an opportunity to practice data analysis. More importantly, this is an exercise that does not require technical experience, expensive specialized laboratory equipment for its execution, and can be completed in person or online, making it readily accessible for a variety of instructional modalities, especially within resource-limited institutions.
",156,,,,,
"""Got Algae?"" A Sorting Game for Introducing the Weird and Wonderful Diversity of Algae",https://doi.org/10.24918/cs.2021.21,Lesson,2021,"Ecology, Evolution, Plant Biology","phylogeny, Biodiversity, photosynthesis, algae, seaweed, monophyly",Yes,"The lesson begins by inviting students to contribute their prior knowledge and experiences with algae, for which there is no ""wrong"" answer and all contributions are welcome. Throughout the lesson, students are asked to discuss, debate and build consensus with their peers in group work and whole-class discussion. Several different activity types are used, including sorting tasks, clicker questions and drawing, accommodating different learning preferences. Students are asked to work in groups, however, students who indicate they strongly prefer to work independently are allowed to do so. Overall, the lesson is intensely active, which has been shown to reduce the achievement gap for underrepresented students in STEM (29).
",108,,,,,
Converting a Face-to-Face Lab to Online: An Example of Process and Outcomes for a CRISPR-Based Molecular Biology Lab,https://doi.org/10.24918/cs.2021.22,Teaching Tools and Strategies,2021,"Genetics, Science Process Skills","mutation, transcription, crispr, translation",Yes,"Highly structured courses have the potential to be more inclusive (12). This online lab course is highly-structured because it contains pre-lab learning with opportunities for feedback, frequent feedback on thinking and writing in the form of laboratory notebooks, peer-instruction during lab sessions, multiple summative assessments, and opportunities to demonstrate mastery in multiple modes, including writing, take-home tests, as well as oral presentations. Providing students with the opportunity to frequently work at their own pace ensures that those who need differing amounts of time with material have this access (see comments about take-home tests in ""Assessment""). Also, accommodating students who have unavoidable conflicts with live video conferencing lab sessions is important in creating an inclusive environment. We emphasized flexibility in this course, encouraging students to participate in the live lab sessions as often as they could but accommodating when they could not (over 90% of students were in the live sessions, all quarter long). We allowed for missed sessions and time to make-up missed lab notebook entries when inevitable conflicts arose such as sick family members or students, work conflicts (some students picked up extra shifts to supplement their family's income), anxiety and depression exacerbated as a result of the pandemic and civil uprising. Many of us took a mastery approach to grading, e.g., weighting the lowest scoring take-home quiz lower than the highest scoring quiz, and using a score of 85% or higher on lower stakes items as a cutoff for full points.

When creating lab discussion breakout groups, some instructors created groups to ensure that there were no gender imbalances or, for example, one student from a traditionally under-represented background being the only under-represented student in their group. Some instructors randomly assigned groups each week, providing opportunities for students to meet more peers and be exposed to more diverse ways of thinking and working. Further, assigning roles to different group members each week ensured that all students had opportunities to speak, report, and be heard by their peers.

Lastly, providing opportunities to engage in a lab course online may increase accessibility for students who normally are unable to participate because of disability, geography, or other constraints. For this reason, it may be worth considering offering online versions of a lab course even when instruction returns face-to-face.
",375,,,,,
Science and Society: Integrating Historical Science Materials into an undergraduate biology course,https://doi.org/10.24918/cs.2021.23,Lesson,2021,microbiology,"infectious disease, vaccination, bacteria, viruses, antibiotiics",Yes,"This active and collaborative exercise encourages discussion among students with different backgrounds, perspectives, and learning strengths. The historical materials highlight various viewpoints on science and infectious diseases: the opinions of scientists, the perceptions of the public, and official government statements and policies. Further, we selected documents that show how social biases have influenced the treatment of marginalized groups in the context of infectious diseases. For example, students examined questionnaires used by the Committee on Indigent Migratory Consumptives from California (1916-1919) to ask business owners about whether they would hire migrants with tuberculosis. Other materials included early perspectives on the HIV pandemic from stigmatized LGBTQ individuals. Such documents offer students a lens to compare the treatment of particular groups of people suffering from health issues in the past and in the present.
",131,,,,,
A CURE for Salmonella: A Laboratory Course in Pathogen Microbiology and Genomics,https://doi.org/10.24918/cs.2021.24,Lesson,2021,"Biochemistry and Molecular Biology, Bioinformatics, Ecology, Microbiology","epidemiology, research, bioinformatics, genomics, public health, Antibiotic Resistant Bacteria, Salmonella, DNA sequencing, pathogenic bacteria",Yes,"By their general nature, CUREs increase access to authentic research experiences for all students independent of the personal and institutional hurdles that they may face in engaging in an independent research program (3). Students work collaboratively throughout the semester as they use authentic microbiology and genomics techniques that closely align with epidemiological investigations conducted by the FDA, CDC, and other public health laboratories. Student research has the potential for discovery and to make contributions to the field (33 and E. Gline, E. Gross, B. Puma, R. Zoldork, M. Thinnes, E. Seracino, and J. B. Herrick. Presented at the Annual Meeting of the American Society for Microbiology, Virginia Branch, 8 to 9 November 2019). Through active engagement in authentic practices via wet lab and/or computer-based activities, students gain an understanding of the nature of “real world” scientific endeavors in the field, and also experience autonomy, project ownership, and how to navigate challenges in a research setting.

Other design features of the CURE lend well to inclusive teaching practices. In studying the socially relevant topics of foodborne pathogens and antibiotic resistance in their own community, this lesson would be broadly meaningful to students of varying backgrounds and professional interests (e.g., medicine, epidemiology, bioinformatics, infectious disease microbiology). Pedagogical approaches implemented in this lesson accommodate a variety of learning styles and ability through demonstrations, mini-lectures, videos, hands-on laboratory and computer-based activities, worksheets, discussions, and optional additional tutorials. Similarly, varying forms of formative and summative assessments are used to measure student learning trajectories and guide instruction.
",250,,,,,
The Impact of Diet and Antibiotics on the Gut Microbiome: Distance Education Variant,https://doi.org/10.24918/cs.2021.25,Essay,2021,"Biochemistry and Molecular Biology, Microbiology","microbiome, nutrition, bacterial metabolites, gut bacteria, host response",No,,,,,,,
Single Cell Insights Into Cancer Transcriptomes: A Five-Part Single-Cell RNAseq Case Study Lesson,https://doi.org/10.24918/cs.2021.26,Lesson,2021,"Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Introductory Biology","bioinformatics, cancer, transcriptomics, high-throughput, Data wrangling, Single cell RNA sequencingq",Yes,"The case study is designed as a multipart highly structured series of tasks that require positive collaboration between group participants. Fostering such experiences promotes inclusion of all team members while using a highly adaptable active learning technique (32). Inclusion in science underscores the collaborative nature of the discipline. The essential points of evidence-based teaching seek to provide a resource for designing an inclusive teaching experience for the classroom (33). Importantly, the social relationships developed during the dialogue discussing this case among groups promotes an environment where the knowledge of each participant is heard (32). In particular, students can empathize with the patient, Gary, the researcher or the students engaging in the data analysis portions of the case. This crucial component promotes diversity through the active learning experience (34). The inclusive dialogues and relationship between characters within the case has students navigating the informatic activities as they explicitly address emerging developments within the field of informatics and molecular biology. Moreover, this dialogue between both characters and students promotes engagement and trains self-efficacy when navigating large data sets associated with biological enquiry. In return, this promotes an experience that reveals aspects of clinical and translations research processes: it shows some of the professional obligations clinical providers and researchers have to patients during the cancer treatment and provides students a taste of what it might be like to perform the underlying research and analysis necessary to advance personalized patient care.
",237,,,,,
"A Remote-Learning Framework for Student Research Projects: Using Datasets to Teach Experimental Design, Data Analysis and Science Communication",https://doi.org/10.24918/cs.2021.27,Teaching tools and stragies ,2021,"Introduction biology, science process skills",population growth physiology ecotoxicology photosynthesis,Yes,"The scaffolded and highly guided format of this framework navigates students through each step of the scientific process, which is particularly helpful for introductory students (12, 13). Our approach makes expectations clear for each step in the process and allows students to practice, receive feedback, and make changes as they work toward mastering the skills. This stepwise approach encourages a growth mindset and is more supportive than assigning a comprehensive assignment to “write a lab report” and then leave it to students to determine the important steps. By explicitly teaching students these skills in a scaffolded manner, we aim for students to gain awareness of their learning and cultivate their science identities, which may encourage them to confidently and enthusiastically pursue future science coursework (14-16).

In the various assignments there are opportunities to emphasize altruistic applications of science by highlighting ways that the research can be used to improve the planet or society. Additionally, there are opportunities to affirm the collaborative nature of research and the diverse identities of scientists—by asking students to locate information about the authors and/or by choosing literature references written by diverse scientists.
",186,,,,,
"Problem-Based Learning for Physiology: Synthesizing the Cardiovascular System, Respiration, Macronutrient Metabolism, and Renal Function",https://doi.org/10.24918/cs.2021.28,Lesson,2021,Anatomy-Physiology,"Metabolism, Obesity, blood pressure, cardiac function, cardiovascular, metabolic syndrome, renal, Respiration, respiratory system",Yes,"PBL structure is inherently designed to leverage diversity in the classroom and place value on each students’ unique contributions to their group's progress (10). Students are expected to take on specific, predefined roles each week (further described in Lesson Plan and in Supporting File S1. PBL Activity – Assignment Description) that utilize different skill sets, thus allowing students to use their different strengths to fulfill the obligations of these roles to support their group, as well as develop new skills of interest in a supportive environment. Students may leverage their own experiences in exploring potential paths of inquiry and, through the lens of healthcare, can engage in discussions about equity within healthcare contexts.
",113,,,,,
Exploring Miracle Fruit: An Undergraduate Laboratory Exercise on Experimental Design,https://doi.org/10.24918/cs.2021.29,Lesson,2021,"Biochemistry and Molecular Biology, Science Process Skills","sensory systems, pH, Protein shape, Taste",Yes,"Many factors are likely to affect an individual student’s exposure to experimental design inside and outside of the classroom. These include, but are not limited to, socioeconomic status and first-generation status. Instructors of upper-level courses might assume that students have a refined understanding of experimental design by that point in their education. However, depending on the quality of introductory courses that students have experienced, this may not be the case. The same is true with respect to the inequities among first-year students and their high school courses. The miraculin activity does not make assumptions as to a student’s level of experimental design experience. It seeks to correct misconceptions and encourages peer support. Additionally, students are encouraged to share their past experience or inexperience with experimental design. Students are given many opportunities and contexts in which to express their knowledge, questions, and concerns. They can express their knowledge in a written manner via pre-lab questions (Supporting File S4: Miracle Fruit: Pre-lab Questions), the laboratory protocol (Supporting File S5: Miracle Fruit: Laboratory Protocol), and the post-activity reflection survey (Supporting File S3: Miracle Fruit: Exit Survey). They can also share knowledge verbally with the instructor one-on-one or during a class discussion. They express their knowledge to peers both within and outside of their lab groups. Therefore, students can choose to whom, when, and in what format they share what they have learned. The level of student choice exhibited throughout the experimental design process allows students to tailor their learning in a way that makes sense to them, promoting inclusivity by allowing different students to learn and experience the activity in different ways. Particularly, this contributes to inclusivity for students with disabilities because it gives them the opportunity to express information in ways that work for them. For example, choosing to present ideas verbally rather than in writing may help students with certain disabilities. On the other hand, students with disabilities related to interpersonal interactions can choose to express their ideas in writing. In general, active learning increases performance of underrepresented and first-generation students by a larger margin than other students (16). Since this activity contains many elements of active learning, it should therefore contribute to inclusivity.

Additionally, the activity allows students to bring their cultural experiences into the classroom and share them with their classmates. For example, students are encouraged to bring in foods that are culturally relevant to them. This shows students the importance of representative sampling in experimental designs. By giving students freedom, the activity encourages them to challenge dominant narratives in science. For example, students from non-Western backgrounds may identify variables or design flaws that Westernized science might miss. This could generate a class discussion after the activity about the relationship between experimental design, diversity, Westernization, and drawing conclusions.",458,,,,,
A Student-Led Hearing on the Use of HeLa Cells in Research,https://doi.org/10.24918/cs.2021.30,Lesson,2021,"Cell Biology, Science Process Skills","bioethics, science policy, cell culture, debate, HeLa cells, informed consent, role play, social justice issues",Yes,"The field of bioethics and the subsequent development of informed consent have lagged behind the science of the past decade. As students assume roles as a family member, clinician, or researcher, they can envision the situation and questions that these historical or contemporary figures face(d) and how their decisions impacted both scientific advances and the advent of bioethics. This requires students to assume perspectives which they may not have otherwise considered and weigh evidence that shapes or informs their own perspectives during the post-class reflection. Moreover, role-playing activities help students as they explore the diversity of science through not only the foundational knowledge, but also the people involved in making the science; this helps students connect to the learning experience (27). An inclusive experience incorporates race, ethnicity, and gender (29), which are all nested components of this case. Together, this collaborative effort seeks to acknowledge diverse perspectives and, through collaboration with peers, have students examine scientists and participants from a variety of backgrounds to enrich learning through inclusive practice.
",169,,,,,
Targeting Misconceptions in the Central Dogma by Examining Viral Infection,https://doi.org/10.24918/cs.2021.31,Lesson,2021,"Genetics, Introduction Biology","data, transcription, virus, translation, protein function, membrane transport, Predictions",Yes,"This lesson aims to foster an inclusive learning environment through the use of a variety of different methods of student engagement including the student worksheet, projected slides, and both instructor-led and student-led discussions. Using a variety of strategies engages a broader population of students (22). Students engage in multiple-choice clicker questions both individually and with class discussion, and in think-pair-share questions. Having students discuss with peers before sharing to the entire class helps to minimize student discomfort by allowing them to talk one-on-one with peers as opposed to speaking in front of the entire class, thus still encouraging students to collaborate and discourages competition (22). Whole class discussion in the “share” portion of the think-pair-share can be enhanced and made more equitable by calling on a variety of groups/individuals or quickly going around in a “whip around” (22). Students designed their own hypothesis and experiment, predicted the results through drawing, and observed and interpreted original data. This allowed students to be creative in their scientific approach and also explore previously published literature.",172,,,,,
From Dirt to Streptomyces DNA,https://doi.org/10.24918/cs.2021.32,Lesson,2021,Microbiology,"Metabolism, Antibiotic production, rRNA genes, Secondary metabolites, Streptomyces",Yes,"Inclusive teaching requires that students feel comfortable in your classroom. “Being explicit about one’s goal of cultivating an inclusive, equitable, and fair classroom learning environment reiterates that students and instructors are on the same side, not on somehow opposing sides, of the teaching and learning process” and “all students are explicitly welcomed into the intellectual discussion of biology” (28). Emphasize to your students that you, as the instructor, are committed to an inclusive classroom environment. To ensure inclusiveness tell your students that the course is structured in such a way to facilitate this outcome. Impress upon your students that scientific investigation is a collaborative effort that requires multiple inputs and talents. Tell them we each bring unique abilities and experiences to any situation, and that our success, as a class, on the Streptomyces project requires that each person contribute and that we as a class value each other’s unique contribution and perspective. Remind your students that it is your hope, as their instructor, that all of them will become the next generation of scientific investigators committed to the scientific method and evidence-based decision making. Tell them that they will become the diverse face of the next generation of scientists (28).

In addition, as the instructor, it is important that you recognize the diversity in your classroom. Your class’s diversity may include some of the following differences: race, class, poverty, gender, disability, and privilege or disenfranchisement (29). Before asking students to introduce themselves and identify diversity issues important to them you, as their instructor, can provide a comfortable classroom environment by introducing yourself to the class. Describe your background and diversity issues you deem important to create an inclusive classroom environment. You might also include a diversity statement in your syllabus.

Once you have initiated the discussion on diversity encourage your students to introduce themselves to the class at the beginning of the semester. Give them a chance to say who they are and what they hope to gain and give to the class. In addition, students should be encouraged to speak to you privately to assess their learning, progress, and concerns for the class. You should also ask them, during an office meeting, about their learning style, do they work best alone, or in a group. Do they excel at oral or written work? Let them know that you are available to meet with them in person, during office hours, or by email correspondence. Tell them that the class will provide an opportunity for them to participate and excel in different ways and that you want them to tell you if they are uncomfortable, for any reason, during class and what things you as the instructor can do to facilitate their learning. In short, they matter to you as individuals.

Students work in groups of 2-4. This establishes a small community of learners in which each student can feel safe and included. I assign members to each group based on my prior knowledge of their prior research experience and observation of their engagement with their major. Some students have extensive out of class research experience, and these students should not group together. If students self-select the groups become homogenous and therefore do not reflect the diversity of the classroom.

As an example of an inclusive learning environment during LAB 3 and 4, students examine each other's work and then decide together which of their soil isolates most closely resembles a Streptomyces bacterium.  These groups prepare a short in-lab presentation that gives each student a voice. It allows students who might be reluctant to speak to the entire class by themselves, to be part of a supportive group presentation that represents their work. This allows students with different learning styles (interactive group work as opposed to individual noninteractive work) to benefit from an interactive learning environment. This opportunity arises several times during the semester when students present their hypotheses regarding their group’s laboratory work and their data. This Lesson also employs peer instruction which promotes an inclusive environment as each student brings different skills to the group and therefore adds value to each person’s contribution.

Finally, as the instructor, you should take time to point out the diversity among Streptomyces investigators. Hopwood’s Streptomyces in Nature and Medicine (8) provides an excellent resource documenting this point and the power of cooperative scientific investigation. I cannot emphasize enough how useful and important Hopwood’s book is, as a resource, and to impress upon students the diversity inherent in the international Streptomyces project. The text highlights the international cooperation, among female and male scientists of different nationalities, brought together at the John Innes Centre in England. Individual investigators are described and given credit for their contributions. The book demonstrates the power of both diversity and cooperative investigation. I point out to students the names of individuals who contributed to the International Streptomyces project. For example, Hee-Jeon Hong from Korea working with Mark Buttner, from the John Innes Center in Norwich UK, discover one pathway for resistance to the antibiotic vancomycin (8, 30) and Janet Westpheling working with Xianyang Ni, from the University of Georgia in Athens, Georgia who together examine the promoter region of the Streptomyces chitinase gene (8, 15). These are not household names, but they are known in Streptomyces biology and demonstrate to students the diversity and collaborative nature of scientific investigation. There are many more examples and I strongly encourage you to obtain a copy of this book.
",901,,,,,
It's a Substrate... It's a Protein...No - It's an Enzyme! Teaching Using 3D Serine Protease Physical Modeling Activities to Confront Misconceptions.,https://doi.org/10.24918/cs.2021.33,Lesson,2021,Biochemistry and Molecular Biology,"Protein Structure, Enzymes-Substrate Interactions, Noncovalent Interactions, Geometric Complementary, Electronics, Stereochemistry, Serine Proteases",Yes,"These activities use all five strategies for developing a culture of inclusivity and equity in the classroom described by Tanner (17): (1) we know our students’ names, which helps facilitate the conversations that arise during the lesson; (2) relevant examples of treatments of peptidic ulcers and acid reflux using protease inhibitors are incorporated into the class discussion; (3) the majority of class time is spent with students collaborating in small groups; (4) the lessons use various active learning strategies (i.e., physical models, collaborative work, reflective writing, interactive lecture, pre/post questions); and (5) we explicitly talk about how the physical models and activities promote access and equity for all students. In class, we talk about how spatial abilities are typically lower in female students due in part to the toys and games females are introduced to as children. This slow development of spatial ability has been linked to lower retention and success in STEM (18, 19). Ideally these models will help those with low spatial ability train their brains to build a more robust mental model and therefore increase their success and retention in STEM programs. Additionally, the models are in CPK colors which should be accessible to those with color blindness.
",201,,,,,
"Designing an Asynchronous, Self-Led Aquatic Ecology Field Trip",https://doi.org/10.24918/cs.2021.34,Essay,2021,Ecology,"observation, ecosystem structure, exploration",Yes,"This activity is inclusive because it is designed to be flexible in students’ schedules, cognizant of social bias, accessibility, and student safety, and focused on each student’s comfort zone. Additionally, instructors are encouraged to make students aware that all ecosystems are important, no matter how ‘pristine’ or ‘urban’ the location. This will show students that their home area is ecologically valuable, regardless of the socioeconomic status. Lastly, the activity allows for alternatives if students do not feel safe participating.
",79,,," Had a section called: ""CONSIDERING EQUITY FOR UNDERREPRESENTED GROUPS IN THE FIELD""",,
"Moths and Frogs and E. coli, Oh My!: Agent-based Modeling of Evolutionary Systems",https://doi.org/10.24918/cs.2021.35,Lesson,2021,"Bioinformatics, Ecology, Evolution, Science Process Skills","modeling, Evolution, ecology, agent-based modeling, Genetic Drift, environmental science, Natural Selection, competitive coevolution, simulation modeling, evolutionary reasoning",Yes,"Many ecology and evolution classrooms have been criticized for a lack of inclusivity for students with disabilities, particularly in fieldwork-heavy courses (37–41). Computational research and model-based inquiry have been proposed as a potential solution to broadening participation in ecological and evolutionary research (42, 43). In this lesson, we present a hands-on introduction to modeling and computational biology, enabling participation for a broader range of physical abilities. The hybrid approach of independent work followed by group discussion allows students to move at their own pace and develop their own ideas and hypotheses prior to discussion. This approach also allows students to develop their own thoughts, explain their thinking, and evaluate other suggestions collaboratively. We also present concepts using a variety of forms, including visually through model interfaces, textually through model descriptions and written protocols, and audibly through lectures allowing for concept reinforcement and participation with different learning styles.
",147,,,,,
An Active Learning Workshop to Teach Active Learning Strategies,https://doi.org/10.24918/cs.2021.36,Lesson,2021,Professional Development and Career Planning,"professional development, Active-learning strategies, jigsaw, think-pair-share, Pedagogical approaches, Gallery Walk, Small group discussion, Inclusive practices",Yes,"This workshop is designed to teach participants inclusive active learning strategies by involving all participants actively and inclusively. Each participant has a handout (Supporting File S1. Active Learning Workshop – Worksheet) with all question prompts for them to answer and space to take notes. Everyone completes the quick write questions individually. In a gallery walk, participants work in small groups at different stations to discuss questions and write their responses. After a few minutes, the groups rotate to a new station with a different question and change scribes to allow equitable contributions from the group members. This process is repeated until all groups have rotated through all questions.

Every participant is also responsible for reading their assigned article prior to the workshop in preparation for the jigsaw activity. In a jigsaw, participants first form expert groups with members who have read the same article to discuss the takeaways and respond to questions based on their assigned article. Afterward, they form new reshuffled groups with members that have read different articles; each member then teaches their article to their peers in their new groups. The jigsaw format is both equitable and inclusive as everyone is responsible and held accountable for their learning and teaching (20).

We also use unbiased call in this workshop to solicit ideas from the participants, tracking who has spoken to make sure that the most voices are heard (18, 21, 22). To increase participants’ comfort with unbiased call and to decrease anxiety, we always give the participants a chance to discuss their answers with their peers prior to calling on them (18). Questions in several workshop activities also address strategies on ensuring equitable participation and/or creating an inclusive classroom that engages everyone (Supporting File S1. Active Learning Workshop – Worksheet), so more ideas may emerge during the discussion.

",299,,,,,
Developing Decolonial Consciousness in Biology Students Through Critical Reflection Assignments,https://doi.org/10.24918/cs.2021.37,Lesson,2021,"Ecology, Evolution, Science Process Skills","primates, society, Zoology, antiracism, decolonizing, student activism, museum science",Yes,"The instructor used homework 1 to make students aware of the role that colonialism played in museum collections, as well as the concept of decolonizing science. The homework questions, as well as class discussions, were designed to allow students with varying amounts of exposure to these concepts to share and reflect. Students who felt comfortable gave their permission to have their homework responses shared anonymously, which allowed students to read and respond to their peers’ perspectives. In addition to highlighting the unethical history of science, this activity challenged students to think of how they can be more inclusive as scientists.

",100,,,,,
